timestamp,ip,module,level,message
"2025-11-04 09:49:28",172.16.38.19,php7,error,"script '/srv/www/htdocs/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:50:57",172.16.38.19,php7,error,"script '/srv/www/htdocs/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:50:57",172.16.38.19,php7,error,"script '/srv/www/htdocs/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:50:58",172.16.38.19,php7,error,"script '/srv/www/htdocs/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:50:58",172.16.38.19,php7,error,"script '/srv/www/htdocs/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:50:58",172.16.38.19,php7,error,"script '/srv/www/htdocs/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:50:58",172.16.38.19,php7,error,"script '/srv/www/htdocs/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:50:58",172.16.38.19,php7,error,"script '/srv/www/htdocs/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:50:59",172.16.38.19,php7,error,"script '/srv/www/htdocs/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:50:59",172.16.38.19,php7,error,"script '/srv/www/htdocs/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:51:18",172.16.38.19,php7,error,"script '/srv/www/htdocs/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:51:19",172.16.38.19,php7,error,"script '/srv/www/htdocs/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:51:19",172.16.38.19,php7,error,"script '/srv/www/htdocs/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:51:24",172.16.38.19,php7,error,"script '/home/idzneladze/public_html/forms/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:51:47",172.16.38.19,php7,error,"script '/home/idzneladze/public_html/forms/login.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 09:56:40",172.16.38.19,autoindex,error,"AH01276: Cannot serve directory /srv/www/htdocs/: No matching DirectoryIndex (index.html,index.html.var,index.php4,index.php5,index.php7,index.php) found, and server-generated directory index forbidden by Options directive"
